region,site ID,Site name,Operator,,  Is site properly fenced and locked?,,stopped by security and identification checked,,visitor log maintained,,Is there a site emergency contact list?,, Are  signs   posted as required?,,Is security fences  intact and locks operational?,,Are there  signs of soil erosion that may weaken tower and anchor bases ?,,Is the  site  well cleaned and maintained?,,Has any  spillage taken place? ,,Is the concrete that is visible in overall good condition?(tower stubs and foundations),,Is the concrete that is visible in overall good condition? (all equipment plinths),,Is there grout  applied to the tower base?,,Are there any signs of rust or corrosion on anchor bolts?,,Are any of the nuts missing  on the HD bolts?,,Are the  RF exposure signs  mounted to the tower?,,Is tower painting  in overall good condition?,,Are there any rusted or missing members?,,Are there any missing bolts and nuts?,,Are navigation lights installed and in working order?,,Is climbing ladder installed and in good condition?,,Is safety cage installed and in good condition?,,Is  the tower level and plumb?,,Is there a visible twist in the tower?,,Is it close to the nearest inhabited building?,,Is there a lightning spike fitted to the top of tower all earth connections terminated?,,Is there  space available on ladder to accommodate additional feeder cables?,, Climbing ladder installed and in good condition?,,Is there space available to fit additional RF or MW antennas?,, Is there a shelter or brick enclosures?,,Is the shelter or brick enclosure  in  good condition?,,Have all earthing connections been terminated?,, Is there any intrusion system fitted?,,Are there traces of acid on the UPS battery and rectifier installation?,,Is the UPS batter array maintained on a regular basis?,,Are  RF cables secured properly in cable tray/ladder?,,Is the overall condition of feeder cables and waterproofing  good ?,,Are there any unused cables?,,Do you not any cables that have not been terminated?,,Is there fire alarm present?,,Is there an  intrusion alarm installed?,,Is there generator installed on site?,,Is the overall condition of the generatorand fuel tank/piping acceptable?,,Are the power cables in  good condition?,,Are the  cables properly insulated and terminated?,,Are the  appriporiate ECG meters installed on site?,,
9,CEB 2504,Swedru EX GT Vodafone,AGONA,VODAFONE/MTN,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,NULL,YES,,NO,,NO,,YES,,YES,,NO,NULL,YES,,NO,,YES,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
9,2817,SWEDRU MARKET,Agona West Municipal,MTN,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,NO,NULL,NO,,NO,,NO,DSCI0725,NO,DSCI0724,NO,DSCI0724,YES,,NO,,YES,DSCI0723,YES,,NO,NULL,YES,,NO,DSCI0725,NO,NULL,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
9,,Swedru Market Tigo,Agona West Municipal,TIGO/AIRTEL,YES,,NO,,NO,,NO,NULL,NO,DSCI0648,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,DSCI0640,YES,,NO,,NO,,YES,,YES,,NO,DSCI0646,YES,,NO,,YES,DSCI0648,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
9,2519,SWEDRU RS,GOMOA,airtel/vodafone,yes,,yes,,no,,yes,,yes,,no,,no,,no,,yes,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,yes,,yes,,yes,,yes,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,no,,NO,,YES,,yes,,yes,,no,,no,,no,,no,,yes,,yes,,yes,,yes,,yes,,
9,,Swedru Woraba 1800 Tigo,Agona West Municipal,TIGO VODAFONE AIRTEL,YES,,NO,,NO,,NO,DSCI0235,NO,DSCI0235,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,NULL,YES,,NO,,NO,,YES,,YES,,NO,NULL,YES,,NO,,YES,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
9,,Swedru Woraba Vodafone,AGONA,TIGO VODAFONE AIRTEL,YES,,NO,,NO,,NO,DSCI0234,NO,DSCI0234,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,NULL,YES,,NO,,NO,,YES,,YES,,NO,NULL,YES,,NO,,YES,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
3,,Tachali_R,DAMANGO,AIRTEL,YES,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,
8,,TAKORADI (OLD162),SEKONDI-TAKOTRADI,EXPRESSO,no,cs1945_null_null_1351073107386,yes,,yes,,no,cs1945_null_null_1351073107386,no,cs1945_null_null_1351073107386,no,cs1945_null_null_1351073107386,no,cs1945_null_null_1351073107386,no,cs1945_null_null_1351073107386,no,cs1945_null_null_1351073263961,yes,,yes,,no,cs1945_null_null_1351073296958,no,NULL,no,NULL,no,cs1945_null_null_1351073496719,yes,,no,NULL,no,NULL,yes,,yes,,yes,,yes,,no,NULL,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,NO,NULL,YES,,yes,,yes,,no,NULL,no,NULL,NO,cs1945_null_null_1351073107386,NO,cs1945_null_null_1351073107386,yes,,yes,,yes,,yes,,yes,,
8,742,TAKORADI 1,SHAMA AHANTA EAST,MTN,yes,,yes,,yes,,no,cs0578_null_null_1351596886939,no,cs0578_null_null_1351596886939,yes,,no,,yes,,no,,yes,,yes,,no,null,no,,no,,no,cs0578_null_null_1351596223670,yes,,no,,no,,yes,,yes,,no,null,yes,,no,,yes,cs0578_null_null_1351596886939,yes,,no,cs0578_null_null_1351596805583,yes,,yes,,yes,,yes,,yes,,YES,,NO,,YES,,yes,,yes,,no,,no,,NO,null,NO,null,yes,,yes,,yes,,yes,,yes,,
8,807,TAKORADI 2,SHAMA AHANTA EAST,MTN,no,cs0693_ct0002_se0007_1350469550204,yes,,yes,,no,cs0693_ct0002_se0007_1350469550204,no,cs0693_ct0002_se0007_1350469550204,no,cs0693_ct0003_se0020_1350469612667,no,,no,cs0693_ct0001_se0012_1350469430017,no,,yes,,yes,,no,null,no,,no,,yes,,yes,,no,,no,,yes,,no,null,no,null,yes,,no,,yes,cs0693_ct0001_se0012_1350469430017,yes,,no,null,no,null,yes,,yes,,yes,,yes,,no,null,NO,,YES,,yes,,yes,,no,,no,,NO,null,NO,null,yes,,yes,,yes,,yes,,yes,,
8,744,TAKORADI 3,SHAMA AHANTA EAST,MTN,yes,,no,null,no,null,no,cs0604_null_null_1351505984825,no,null,yes,,no,,yes,,no,,yes,,yes,,no,null,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,no,,yes,null,yes,,no,null,yes,,yes,,yes,,yes,,yes,,YES,,NO,,YES,,yes,,yes,,no,,no,,NO,null,NO,null,yes,,yes,,yes,,yes,,yes,,
8,,TAKORADI AIRPORT RIDGE,SEKONDI-TAKORADI,AIRTEL,YES,,YES,,YES,,YES,,NO,cs2394_null_null_1351164414773,YES,,NO,NULL,YES,,NO,cs2394_null_null_1351164433497,YES,,YES,,NO,cs2394_null_null_1351164462117,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,cs2394_null_null_1351164332430,NO,cs2394_null_null_1351164332430,YES,,NO,NULL,YES,,YES,,NO,cs2394_null_null_1351164525548,NO,cs2394_null_null_1351164525548,NO,cs2394_null_null_1351164672759,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
8,,TAKORADI BEACH ROAD,SEKONDI-TAKORADI,AIRTEL,YES,,YES,,YES,,YES,,YES,,NO,cs2341_null_null_1351410164658,NO,NULL,YES,,YES,,YES,,YES,,NO,cs2341_null_null_1351410266589,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,NO,cs2341_null_null_1351410522271,YES,,YES,,YES,,YES,,YES,,YES,,NO,cs2341_null_null_1351410731233,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,cs2341_null_null_1351410835602,NO,cs2341_null_null_1351410835602,YES,,YES,,YES,,YES,,YES,,
8,,TAKORADI KOJOKROM,SEKONDI-TAKORADI,AIRTEL,YES,,NO,cs2285_null_null_1351341082998,NO,cs2285_null_null_1351341082998,NO,cs2285_null_null_1351341082998,YES,,YES,,NO,NULL,NO,cs2285_null_null_1351341861132,NO,cs2285_null_null_1351341082998,YES,,YES,,NO,cs2285_null_null_1351341511227,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,cs2285_null_null_1351341521527,NO,cs2285_null_null_1351341521527,YES,,YES,,YES,,YES,,YES,,
8,,TAKORADI MAMIBIA,SEKONDI-TAKORADI,AIRTEL,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,YES,,NO,cs1511_null_null_1351587345828,YES,,YES,,NO,cs1511_null_null_1351586888897,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,cs1511_null_null_1351586888897,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,cs1511_null_null_1351587239282,NO,cs1511_null_null_1351587239282,YES,,YES,,YES,,YES,,YES,,
8,,TAKORADI MPINTSIN,SEKONDI-TAKORADI,AIRTEL,YES,,NO,cs2284_null_null_1351339825729,NO,cs2284_null_null_1351339825729,YES,,YES,,NO,cs2284_null_null_1351339814893,NO,NULL,YES,,NO,cs2284_null_null_1351339879697,YES,,YES,,NO,cs2284_null_null_1351339950049,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,NO,cs2284_null_null_1351340099717,YES,,YES,,YES,,YES,,YES,,NO,cs2284_null_null_1351339814893,NO,NULL,YES,,YES,,YES,,NO,cs2284_null_null_1351340414160,NO,cs2284_null_null_1351340414160,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
8,,TAKORADI NEW SITE ,SEKONDI-TAKORADI,AIRTEL,YES,,NO,cs2265_null_null_1351093882383,NO,cs2265_null_null_1351093882383,YES,,YES,,YES,,NO,cs2265_null_null_1351093666912,YES,,NO,cs2265_null_null_1351093812844,YES,,YES,,NO,cs2265_null_null_1351093842920,NO,NULL,NO,NULL,NO,cs2265_null_null_1351093740109,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
8,,TAKORADI POLYTECHNIC AIRTEL,Sekondi Takoradi Metropolitan,AIRTEL,YES,,YES,,YES,,YES,,YES,,YES,,NO,cs2250_null_null_1351420425441,NO,cs2250_null_null_1351420688793,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,NO,cs2250_null_null_1351420468880,NO,cs2250_null_null_1351420496578,NO,cs2250_null_null_1351420496578,NO,cs2250_null_null_1351420332337,NO,cs2250_null_null_1351420332337,YES,,YES,,NO,NULL,YES,,NO,cs2250_null_null_1351420638914,YES,,NO,NULL,NO,NULL,NO,cs2250_null_null_1351420366624,NO,cs2250_null_null_1351420366624,YES,,YES,,YES,,YES,,YES,,
8,,TAKORADI POLYTECHNIC TIGO,Sekondi Takoradi Metropolitan,TIGO,YES,,NO,cs2156_null_null_1351423688030,NO,cs2156_null_null_1351423688030,NO,cs2156_null_null_1351423688030,NO,cs2156_null_null_1351423688030,YES,,NO,NULL,YES,,NO,NULL,YES,,YES,,NO,cs2156_null_null_1351423609940,NO,NULL,NO,NULL,YES,,NO,cs2156_null_null_1351424351316,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,NO,cs2156_null_null_1351423847560,NO,cs2156_null_null_1351423847560,YES,,YES,,YES,,YES,,YES,,
8,,TAKORADI SHOP,SEKONDI-TAKORADI,AIRTEL,YES,,YES,,YES,,NO,cs1985_null_null_1351577273187,NO,cs1985_null_null_1351577273187,YES,,NO,cs1985_null_null_1351577295714,NO,cs1985_null_null_1351577361690,NO,cs1985_null_null_1351577316347,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,NO,cs1985_null_null_1351577647842,NO,cs1985_null_null_1351577709467,NO,cs1985_null_null_1351577679899,YES,,YES,,YES,,YES,,NO,NULL,YES,,NO,cs1985_null_null_1351577248349,YES,,NO,NULL,NO,NULL,NO,cs1985_null_null_1351577361690,NO,cs1985_null_null_1351577361690,YES,,YES,,YES,,YES,,YES,,
8,,TAKORADI SIC TIGO,Sekondi Takoradi Metropolitan,TIGO,NO,cs1971_null_null_1351252671688,YES,,NO,cs1971_null_null_1351252785579,NO,cs1971_null_null_1351252785579,NO,cs1971_null_null_1351252785579,NO,cs1971_null_null_1351252785579,YES,,NO,cs1971_null_null_1351253492241,YES,,YES,,YES,,NO,cs1971_null_null_1351266505635,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,NO,cs1971_null_null_1351266827198,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,cs1971_null_null_1351252684328,NO,cs1971_null_null_1351252684328,YES,,YES,,NO,cs1971_null_null_1351253158971,NO,cs1971_null_null_1351253158971,NO,cs1971_null_null_1351253507719,
8,WEB 7012,TAKORADI SIC VODAFONE,Sekondi Takoradi Metropolitan,VODAFONE,YES,,YES,,YES,,NO,cs1948_null_null_1351498554818,NO,cs1948_null_null_1351498554818,YES,,NO,cs1948_null_null_1351499127484,YES,,NO,cs1948_null_null_1351498589714,YES,,YES,,NO,cs1948_null_null_1351499061177,NO,NULL,NO,NULL,NO,cs1948_null_null_1351498589714,NO,cs1948_null_null_1351499019500,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,NO,cs1948_null_null_1351498978231,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,cs1948_null_null_1351498648539,NO,cs1948_null_null_1351498648539,YES,,YES,,NO,cs1948_null_null_1351498691513,NO,cs1948_null_null_1351498890362,NO,cs1948_null_null_1351498902617,
8,,TAKORADI_EX_GT,SHAMA AHANTA EAST,Vodafone,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,cs1944_null_null_1351075190565,no,cs1944_null_null_1351075144694,yes,,yes,,no,cs1944_null_null_1351075120211,no,NULL,no,NULL,yes,,yes,,no,NULL,no,NULL,yes,,yes,,yes,,yes,,no,NULL,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,NO,NULL,YES,,yes,,yes,,no,NULL,no,NULL,NO,cs1944_null_null_1351075719077,NO,cs1944_null_null_1351075719077,yes,,yes,,yes,,yes,,yes,,
2,GH0343,TAKPO,NADOWLI-FUSI,AIRTEL,YES,,NO,null,NO,null,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,Audit Trip 584.jpg,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,null,YES,,YES,,YES,,NO,,NO,,NO,null,NO,null,YES,,YES,,YES,,YES,,YES,,
3,,TAMAKE KATARIGA,TOLON,TIGO/AIRTEL,YES,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,
3,,TAMALE,TAMALE,MTN,yes,,no,,no,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,,,,,yes,,yes,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,
3,CS5199,Tamale,TAMALE,expresso,yes,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,,,,,yes,,yes,,no,,no,,yes,,no,,yes,,yes,,yes,,yes,,yes,,
3,CS5211,Tamale airport,TAMALE,EXPRESSO,YES,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,
3,CS5212,Tamale Airport,TAMALE,TIGO,YES,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,,,,,NO,,YES,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
3,,Tamale airport,TAMALE,EXPRESSO/AIRTEL,YES,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,
3,,TAMALE AIRPORT EXPRESSO,TAMALE,EXPRESSO/AIRTEL,YES,,YES,,YES,,NO,PB120551,NO,PB120551,YES,,NO,PB120565,YES,,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,NO,PB120560,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,NO,PB120565,,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,PB120551,YES,,YES,,YES,,YES,,YES,,
3,CS5212,TAMALE AIRPORT TIGO,TAMALE,TIGO,YES,,NO,PB130601,NO,PB130601,NO,PB130601,YES,,YES,,NO,PB130608,NO,PB130608,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,PB130601,NO,PB130602,YES,,NO,NULL,YES,,NO,PB130602,NO,PB130602,YES,,NO,NULL,NO,NULL,YES,,NO,PB130602,NO,PB130602,NO,PB130602,YES,,YES,,YES,,YES,,,,,,NO,PB130609,YES,,NO,NULL,YES,,NO,PB130602,NO,PB130602,YES,,YES,,YES,,YES,,YES,,
3,CS5199,TAMALE EXPRESSO,TAMALE,expresso,yes,,yes,,yes,,no,PB120461,no,PB120461,yes,,yes,,yes,,yes,,yes,,yes,,no,PB120464,no,PB120465,no,NULL,no,PB120474,yes,,no,NULL,no,NULL,yes,,yes,,yes,,yes,,no,NULL,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,,,,,yes,,yes,,no,PB120463,no,PB120463,yes,,no,PB120478,yes,,yes,,yes,,yes,,yes,,
3,CS5215,TAMALE GBC,TAMALE,TIGO,NO,,YES,,NO,,NO,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,,,,,NO,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
3,CS5215,TAMALE GBC TIGO,TAMALE,TIGO,NO,PB120412,YES,,NO,PB120412,NO,PB120412,NO,PB120412,NO,NULL,NO,PB120421,YES,,YES,,NO,PB120426,NO,PB120412,NO,PB120412,NO,NULL,NO,NULL,NO,PB120416,NO,PB120416,YES,,NO,NULL,YES,,YES,,NO,PB120425,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,,,,,NO,PB120418,YES,,NO,PB120424,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CS5219,Tamale Industrial Area,TAMALE,AIRTEL,YES,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,NO,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
3,CS5219,TAMALE INDUSTRIAL AREA AIRTEL,TAMALE,AIRTEL,YES,,NO,PB120455,NO,PB120455,NO,PB120455,NO,PB120455,YES,,NO,NULL,YES,,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,NO,PB120456,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,NO,PB120456,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CS5202,Tamale_1,TAMALE,AIRTEL,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,YES,,
3,CS5202,TAMALE_1 AIRTEL,TAMALE,AIRTEL,YES,,NO,PB110313,NO,PB110313,NO,PB110313,NO,PB110313,YES,,NO,NULL,NO,PB110303,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB110306,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB110311,YES,,NO,NULL,YES,,YES,,NO,PB110311,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,PB110302,NO,NULL,YES,,NO,PB110306,YES,,YES,,NO,NULL,NO,NULL,YES,,
3,CS5205 ,TAMALE_2 AGRIC EXPRESSO,TAMALE,EXPRESSO,YES,,YES,,YES,,YES,,NO,PB100077,YES,,NO,NULL,NO,PB100079,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB100077,YES,,NO,NULL,NO,NULL,NO,PB100089,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,PB100093,YES,,,,,,NO,PB100081,YES,,YES,,YES,,YES,,NO,PB100082,YES,,NO,PB100083,NO,PB100083,NO,PB100083,YES,,
3,CS5207,Tamale_4,TAMALE,AITEL,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,
3,CS5207,TAMALE_4 AIRTEL,TAMALE,AITEL,YES,,YES,,YES,,YES,,YES,,YES,,NO,PB110238,YES,,NO,PB110236,YES,,YES,,YES,,YES,,YES,,NO,PB110236,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,NO,NULL,YES,,NO,NULL,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CS5208,Tamale_5,TAMALE,AIRTEL,YES,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,
3,CS5208,TAMALE_5 AIRTEL,TAMALE,AIRTEL,YES,,NO,PB100104,NO,PB100104,YES,,YES,,YES,,NO,NULL,NO,PB100105,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB100121,YES,,NO,NULL,YES,,YES,,NO,PB100123,YES,,YES,,NO,PB100104,YES,,YES,,YES,,YES,,NO,NULL,NO,PB100105,NO,PB100105,YES,,YES,,YES,,YES,,YES,,NO,PB100109,YES,,YES,,YES,,
3,CS5209,TAMALE_7,TAMALE,AIRTEL,YES,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
3,CS5209,TAMALE_7 AIRTEL,TAMALE,AIRTEL,YES,,NO,PB110152,NO,PB110152,NO,PB110152,NO,PB110152,YES,,NO,PB110158,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB110152,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB110166,YES,,NO,NULL,YES,,YES,,NO,PB110161,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,PB110164,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CS5214,TAMALE_AIRPORT_AIRFORCE,TAMALE,VODAFONE,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,,,YES,,NO,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,,,,,NO,,YES,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
3,CS5214,TAMALE_AIRPORT_AIRFORCE VODAFONE,TAMALE,VODAFONE,YES,,NO,PB130601,NO,PB130601,NO,PB130601,NO,PB130601,YES,,NO,NULL,NO,PB130608,YES,,,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,PB130607,NO,NULL,YES,,NO,NULL,YES,,NO,PB130607,NO,PB130607,YES,,NO,NULL,NO,NULL,YES,,NO,PB130603,NO,PB130603,NO,PB130603,YES,,YES,,YES,,YES,,,,,,NO,PB130605,YES,,NO,NULL,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
